"Ausprägung","Jahr","Raumbezug","Bevölkerungsdichte","Hauptwohnsitzbevölkerung","Fläche_in_km²","BezirksID"
"insgesamt",2024,"Stadt München",5161,1603776,310.7,26
"insgesamt",2024,"Altstadt",6636,20876,3.1,1
"insgesamt",2024,"Ludwigsvorstadt",11378,50081,4.4,2
"insgesamt",2024,"Maxvorstadt",12199,52434,4.3,3
"insgesamt",2024,"Schwabing-West",15724,68610,4.4,4
"insgesamt",2024,"Haidhausen",15159,63972,4.2,5
"insgesamt",2024,"Sendling",10409,41002,3.9,6
"insgesamt",2024,"Sendling-Westpark",7964,62240,7.8,7
"insgesamt",2024,"Schwanthalerhöhe",13855,28684,2.1,8
"insgesamt",2024,"Neuhausen",7890,101901,12.9,9
"insgesamt",2024,"Moosach",5049,56015,11.1,10
"insgesamt",2024,"Milbertshofen",5760,77281,13.4,11
"insgesamt",2024,"Schwabing",3003,77092,25.7,12
"insgesamt",2024,"Bogenhausen",4026,95475,23.7,13
"insgesamt",2024,"Berg am Laim",7500,47367,6.3,14
"insgesamt",2024,"Trudering",3397,76280,22.5,15
"insgesamt",2024,"Ramersdorf",6070,120776,19.9,16
"insgesamt",2024,"Obergiesing",9501,54352,5.7,17
"insgesamt",2024,"Untergiesing",6710,54067,8.1,18
"insgesamt",2024,"Thalkirchen",5839,103717,17.8,19
"insgesamt",2024,"Hadern",5598,51637,9.2,20
"insgesamt",2024,"Pasing",4959,81804,16.5,21
"insgesamt",2024,"Aubing",1791,61011,34.1,22
"insgesamt",2024,"Allach",2345,36230,15.5,23
"insgesamt",2024,"Feldmoching",2203,63756,28.9,24
"insgesamt",2024,"Laim",10805,57116,5.3,25
"insgesamt",2023,"Stadt München",5114,1589026,310.7,26
"insgesamt",2023,"Altstadt",6631,20860,3.1,1
"insgesamt",2023,"Ludwigsvorstadt",11331,49876,4.4,2
"insgesamt",2023,"Maxvorstadt",12085,51945,4.3,3
"insgesamt",2023,"Schwabing-West",15643,68254,4.4,4
"insgesamt",2023,"Haidhausen",15067,63583,4.2,5
"insgesamt",2023,"Sendling",10356,40790,3.9,6
"insgesamt",2023,"Sendling-Westpark",7942,62065,7.8,7
"insgesamt",2023,"Schwanthalerhöhe",13878,28732,2.1,8
"insgesamt",2023,"Neuhausen",7774,100396,12.9,9
"insgesamt",2023,"Moosach",5034,55851,11.1,10
"insgesamt",2023,"Milbertshofen",5737,76971,13.4,11
"insgesamt",2023,"Schwabing",2999,76986,25.7,12
"insgesamt",2023,"Bogenhausen",3978,94337,23.7,13
"insgesamt",2023,"Berg am Laim",7448,47037,6.3,14
"insgesamt",2023,"Trudering",3373,75728,22.5,15
"insgesamt",2023,"Ramersdorf",6035,120085,19.9,16
"insgesamt",2023,"Obergiesing",9403,53795,5.7,17
"insgesamt",2023,"Untergiesing",6691,53909,8.1,18
"insgesamt",2023,"Thalkirchen",5742,101992,17.8,19
"insgesamt",2023,"Hadern",5578,51446,9.2,20
"insgesamt",2023,"Pasing",4925,81246,16.5,21
"insgesamt",2023,"Aubing",1688,57502,34.1,22
"insgesamt",2023,"Allach",2325,35918,15.5,23
"insgesamt",2023,"Feldmoching",2177,63006,28.9,24
"insgesamt",2023,"Laim",10729,56716,5.3,25
"insgesamt",2022,"Stadt München",5112,1588330,310.7,26
"insgesamt",2022,"Altstadt",6614,20808,3.1,1
"insgesamt",2022,"Ludwigsvorstadt",11567,50915,4.4,2
"insgesamt",2022,"Maxvorstadt",12161,52269,4.3,3
"insgesamt",2022,"Schwabing-West",15723,68603,4.4,4
"insgesamt",2022,"Haidhausen",15020,63383,4.2,5
"insgesamt",2022,"Sendling",10412,41011,3.9,6
"insgesamt",2022,"Sendling-Westpark",7895,61702,7.8,7
"insgesamt",2022,"Schwanthalerhöhe",14001,28986,2.1,8
"insgesamt",2022,"Neuhausen",7781,100495,12.9,9
"insgesamt",2022,"Moosach",5026,55761,11.1,10
"insgesamt",2022,"Milbertshofen",5739,77002,13.4,11
"insgesamt",2022,"Schwabing",3081,79092,25.7,12
"insgesamt",2022,"Bogenhausen",3977,94317,23.7,13
"insgesamt",2022,"Berg am Laim",7466,47148,6.3,14
"insgesamt",2022,"Trudering",3385,75998,22.5,15
"insgesamt",2022,"Ramersdorf",6010,119572,19.9,16
"insgesamt",2022,"Obergiesing",9433,53964,5.7,17
"insgesamt",2022,"Untergiesing",6711,54068,8.1,18
"insgesamt",2022,"Thalkirchen",5691,101087,17.8,19
"insgesamt",2022,"Hadern",5555,51239,9.2,20
"insgesamt",2022,"Pasing",4868,80309,16.5,21
"insgesamt",2022,"Aubing",1604,54619,34.1,22
"insgesamt",2022,"Allach",2331,36017,15.5,23
"insgesamt",2022,"Feldmoching",2181,63110,28.9,24
"insgesamt",2022,"Laim",10756,56855,5.3,25
"insgesamt",2021,"Stadt München",5027,1562128,310.7,26
"insgesamt",2021,"Altstadt",6556,20626,3.1,1
"insgesamt",2021,"Ludwigsvorstadt",11574,50943,4.4,2
"insgesamt",2021,"Maxvorstadt",11918,51228,4.3,3
"insgesamt",2021,"Schwabing-West",15643,68255,4.4,4
"insgesamt",2021,"Haidhausen",14767,62315,4.2,5
"insgesamt",2021,"Sendling",10334,40704,3.9,6
"insgesamt",2021,"Sendling-Westpark",7747,60540,7.8,7
"insgesamt",2021,"Schwanthalerhöhe",13945,28870,2.1,8
"insgesamt",2021,"Neuhausen",7698,99415,12.9,9
"insgesamt",2021,"Moosach",4951,54928,11.1,10
"insgesamt",2021,"Milbertshofen",5639,75658,13.4,11
"insgesamt",2021,"Schwabing",3026,77701,25.7,12
"insgesamt",2021,"Bogenhausen",3905,92593,23.7,13
"insgesamt",2021,"Berg am Laim",7406,46769,6.3,14
"insgesamt",2021,"Trudering",3335,74884,22.5,15
"insgesamt",2021,"Ramersdorf",5931,118010,19.9,16
"insgesamt",2021,"Obergiesing",9349,53483,5.7,17
"insgesamt",2021,"Untergiesing",6578,52999,8.1,18
"insgesamt",2021,"Thalkirchen",5588,99260,17.8,19
"insgesamt",2021,"Hadern",5452,50290,9.2,20
"insgesamt",2021,"Pasing",4742,78232,16.5,21
"insgesamt",2021,"Aubing",1521,51786,34.1,22
"insgesamt",2021,"Allach",2237,34566,15.5,23
"insgesamt",2021,"Feldmoching",2149,62192,28.9,24
"insgesamt",2021,"Laim",10571,55881,5.3,25
"insgesamt",2020,"Stadt München",5027,1562096,310.7,26
"insgesamt",2020,"Altstadt",6663,20960,3.1,1
"insgesamt",2020,"Ludwigsvorstadt",11711,51547,4.4,2
"insgesamt",2020,"Maxvorstadt",11989,51530,4.3,3
"insgesamt",2020,"Schwabing-West",15756,68750,4.4,4
"insgesamt",2020,"Haidhausen",14776,62353,4.2,5
"insgesamt",2020,"Sendling",10388,40916,3.9,6
"insgesamt",2020,"Sendling-Westpark",7738,60468,7.8,7
"insgesamt",2020,"Schwanthalerhöhe",14166,29328,2.1,8
"insgesamt",2020,"Neuhausen",7720,99704,12.9,9
"insgesamt",2020,"Moosach",4952,54934,11.1,10
"insgesamt",2020,"Milbertshofen",5664,75999,13.4,11
"insgesamt",2020,"Schwabing",3072,78881,25.7,12
"insgesamt",2020,"Bogenhausen",3874,91855,23.7,13
"insgesamt",2020,"Berg am Laim",7429,46915,6.3,14
"insgesamt",2020,"Trudering",3316,74456,22.5,15
"insgesamt",2020,"Ramersdorf",5938,118147,19.9,16
"insgesamt",2020,"Obergiesing",9421,53897,5.7,17
"insgesamt",2020,"Untergiesing",6571,52940,8.1,18
"insgesamt",2020,"Thalkirchen",5550,98596,17.8,19
"insgesamt",2020,"Hadern",5396,49770,9.2,20
"insgesamt",2020,"Pasing",4686,77301,16.5,21
"insgesamt",2020,"Aubing",1472,50140,34.1,22
"insgesamt",2020,"Allach",2182,33710,15.5,23
"insgesamt",2020,"Feldmoching",2152,62270,28.9,24
"insgesamt",2020,"Laim",10732,56729,5.3,25
"insgesamt",2019,"Stadt München",5021,1560042,310.7,26
"insgesamt",2019,"Altstadt",6716,21126,3.1,1
"insgesamt",2019,"Ludwigsvorstadt",11799,51933,4.4,2
"insgesamt",2019,"Maxvorstadt",12060,51834,4.3,3
"insgesamt",2019,"Schwabing-West",15800,68935,4.4,4
"insgesamt",2019,"Haidhausen",14611,61654,4.2,5
"insgesamt",2019,"Sendling",10475,41256,3.9,6
"insgesamt",2019,"Sendling-Westpark",7742,60498,7.8,7
"insgesamt",2019,"Schwanthalerhöhe",14303,29611,2.1,8
"insgesamt",2019,"Neuhausen",7760,100213,12.9,9
"insgesamt",2019,"Moosach",4946,54872,11.1,10
"insgesamt",2019,"Milbertshofen",5706,76559,13.4,11
"insgesamt",2019,"Schwabing",3064,78657,25.7,12
"insgesamt",2019,"Bogenhausen",3797,90025,23.7,13
"insgesamt",2019,"Berg am Laim",7443,47000,6.3,14
"insgesamt",2019,"Trudering",3273,73479,22.5,15
"insgesamt",2019,"Ramersdorf",5927,117918,19.9,16
"insgesamt",2019,"Obergiesing",9527,54498,5.7,17
"insgesamt",2019,"Untergiesing",6609,53243,8.1,18
"insgesamt",2019,"Thalkirchen",5500,97689,17.8,19
"insgesamt",2019,"Hadern",5439,50165,9.2,20
"insgesamt",2019,"Pasing",4628,76348,16.5,21
"insgesamt",2019,"Aubing",1441,49072,34.1,22
"insgesamt",2019,"Allach",2218,34277,15.5,23
"insgesamt",2019,"Feldmoching",2145,62069,28.9,24
"insgesamt",2019,"Laim",10804,57111,5.3,25
"insgesamt",2018,"Stadt München",4963,1542211,310.7,26
"insgesamt",2018,"Altstadt",6708,21100,3.1,1
"insgesamt",2018,"Ludwigsvorstadt",11734,51644,4.4,2
"insgesamt",2018,"Maxvorstadt",11960,51402,4.3,3
"insgesamt",2018,"Schwabing-West",15706,68527,4.4,4
"insgesamt",2018,"Haidhausen",14541,61356,4.2,5
"insgesamt",2018,"Sendling",10405,40983,3.9,6
"insgesamt",2018,"Sendling-Westpark",7632,59643,7.8,7
"insgesamt",2018,"Schwanthalerhöhe",14367,29743,2.1,8
"insgesamt",2018,"Neuhausen",7651,98814,12.9,9
"insgesamt",2018,"Moosach",4888,54223,11.1,10
"insgesamt",2018,"Milbertshofen",5597,75094,13.4,11
"insgesamt",2018,"Schwabing",3036,77936,25.7,12
"insgesamt",2018,"Bogenhausen",3709,87950,23.7,13
"insgesamt",2018,"Berg am Laim",7300,46098,6.3,14
"insgesamt",2018,"Trudering",3261,73206,22.5,15
"insgesamt",2018,"Ramersdorf",5847,116327,19.9,16
"insgesamt",2018,"Obergiesing",9485,54256,5.7,17
"insgesamt",2018,"Untergiesing",6601,53184,8.1,18
"insgesamt",2018,"Thalkirchen",5445,96714,17.8,19
"insgesamt",2018,"Hadern",5410,49898,9.2,20
"insgesamt",2018,"Pasing",4523,74625,16.5,21
"insgesamt",2018,"Aubing",1404,47813,34.1,22
"insgesamt",2018,"Allach",2159,33355,15.5,23
"insgesamt",2018,"Feldmoching",2135,61774,28.9,24
"insgesamt",2018,"Laim",10698,56546,5.3,25
"insgesamt",2017,"Stadt München",4911,1526056,310.7,26
"insgesamt",2017,"Altstadt",6652,20926,3.1,1
"insgesamt",2017,"Ludwigsvorstadt",11731,51632,4.4,2
"insgesamt",2017,"Maxvorstadt",11939,51311,4.3,3
"insgesamt",2017,"Schwabing-West",15646,68265,4.4,4
"insgesamt",2017,"Haidhausen",14441,60937,4.2,5
"insgesamt",2017,"Sendling",10329,40682,3.9,6
"insgesamt",2017,"Sendling-Westpark",7599,59386,7.8,7
"insgesamt",2017,"Schwanthalerhöhe",14267,29535,2.1,8
"insgesamt",2017,"Neuhausen",7629,98520,12.9,9
"insgesamt",2017,"Moosach",4837,53662,11.1,10
"insgesamt",2017,"Milbertshofen",5570,74731,13.4,11
"insgesamt",2017,"Schwabing",2974,76341,25.7,12
"insgesamt",2017,"Bogenhausen",3626,85971,23.7,13
"insgesamt",2017,"Berg am Laim",7219,45582,6.3,14
"insgesamt",2017,"Trudering",3207,72006,22.5,15
"insgesamt",2017,"Ramersdorf",5754,114478,19.9,16
"insgesamt",2017,"Obergiesing",9429,53937,5.7,17
"insgesamt",2017,"Untergiesing",6529,52600,8.1,18
"insgesamt",2017,"Thalkirchen",5379,95554,17.8,19
"insgesamt",2017,"Hadern",5380,49626,9.2,20
"insgesamt",2017,"Pasing",4491,74098,16.5,21
"insgesamt",2017,"Aubing",1362,46385,34.1,22
"insgesamt",2017,"Allach",2115,32677,15.5,23
"insgesamt",2017,"Feldmoching",2106,60933,28.9,24
"insgesamt",2017,"Laim",10647,56281,5.3,25
"insgesamt",2016,"Stadt München",4966,1542860,310.7,26
"insgesamt",2016,"Altstadt",6820,21454,3.1,1
"insgesamt",2016,"Ludwigsvorstadt",12477,54915,4.4,2
"insgesamt",2016,"Maxvorstadt",12435,53443,4.3,3
"insgesamt",2016,"Schwabing-West",15908,69407,4.4,4
"insgesamt",2016,"Haidhausen",14693,61999,4.2,5
"insgesamt",2016,"Sendling",10468,41230,3.9,6
"insgesamt",2016,"Sendling-Westpark",7572,59174,7.8,7
"insgesamt",2016,"Schwanthalerhöhe",14627,30282,2.1,8
"insgesamt",2016,"Neuhausen",7707,99538,12.9,9
"insgesamt",2016,"Moosach",4855,53859,11.1,10
"insgesamt",2016,"Milbertshofen",5684,76255,13.4,11
"insgesamt",2016,"Schwabing",3007,77188,25.7,12
"insgesamt",2016,"Bogenhausen",3676,87164,23.7,13
"insgesamt",2016,"Berg am Laim",7230,45655,6.3,14
"insgesamt",2016,"Trudering",3182,71448,22.5,15
"insgesamt",2016,"Ramersdorf",5725,113898,19.9,16
"insgesamt",2016,"Obergiesing",9577,54784,5.7,17
"insgesamt",2016,"Untergiesing",6709,54050,8.1,18
"insgesamt",2016,"Thalkirchen",5416,96200,17.8,19
"insgesamt",2016,"Hadern",5482,50567,9.2,20
"insgesamt",2016,"Pasing",4512,74432,16.5,21
"insgesamt",2016,"Aubing",1338,45571,34.1,22
"insgesamt",2016,"Allach",2087,32248,15.5,23
"insgesamt",2016,"Feldmoching",2134,61764,28.9,24
"insgesamt",2016,"Laim",10658,56335,5.3,25
"insgesamt",2015,"Stadt München",4897,1521678,310.7,26
"insgesamt",2015,"Altstadt",6715,21122,3.1,1
"insgesamt",2015,"Ludwigsvorstadt",12280,54049,4.4,2
"insgesamt",2015,"Maxvorstadt",12504,53743,4.3,3
"insgesamt",2015,"Schwabing-West",15706,68527,4.4,4
"insgesamt",2015,"Haidhausen",14574,61495,4.2,5
"insgesamt",2015,"Sendling",10379,40879,3.9,6
"insgesamt",2015,"Sendling-Westpark",7473,58398,7.8,7
"insgesamt",2015,"Schwanthalerhöhe",14675,30381,2.1,8
"insgesamt",2015,"Neuhausen",7643,98702,12.9,9
"insgesamt",2015,"Moosach",4801,53261,11.1,10
"insgesamt",2015,"Milbertshofen",5627,75488,13.4,11
"insgesamt",2015,"Schwabing",2922,75020,25.7,12
"insgesamt",2015,"Bogenhausen",3625,85947,23.7,13
"insgesamt",2015,"Berg am Laim",7132,45035,6.3,14
"insgesamt",2015,"Trudering",3110,69830,22.5,15
"insgesamt",2015,"Ramersdorf",5648,112371,19.9,16
"insgesamt",2015,"Obergiesing",9510,54402,5.7,17
"insgesamt",2015,"Untergiesing",6625,53377,8.1,18
"insgesamt",2015,"Thalkirchen",5269,93602,17.8,19
"insgesamt",2015,"Hadern",5449,50257,9.2,20
"insgesamt",2015,"Pasing",4444,73320,16.5,21
"insgesamt",2015,"Aubing",1282,43682,34.1,22
"insgesamt",2015,"Allach",2063,31882,15.5,23
"insgesamt",2015,"Feldmoching",2126,61534,28.9,24
"insgesamt",2015,"Laim",10476,55374,5.3,25
"insgesamt",2014,"Stadt München",4798,1490681,310.7,26
"insgesamt",2014,"Altstadt",6614,20806,3.1,1
"insgesamt",2014,"Ludwigsvorstadt",11855,52177,4.4,2
"insgesamt",2014,"Maxvorstadt",12233,52575,4.3,3
"insgesamt",2014,"Schwabing-West",15378,67094,4.4,4
"insgesamt",2014,"Haidhausen",14398,60756,4.2,5
"insgesamt",2014,"Sendling",10263,40422,3.9,6
"insgesamt",2014,"Sendling-Westpark",7228,56485,7.8,7
"insgesamt",2014,"Schwanthalerhöhe",14531,30083,2.1,8
"insgesamt",2014,"Neuhausen",7551,97521,12.9,9
"insgesamt",2014,"Moosach",4747,52657,11.1,10
"insgesamt",2014,"Milbertshofen",5565,74667,13.4,11
"insgesamt",2014,"Schwabing",2797,71802,25.7,12
"insgesamt",2014,"Bogenhausen",3539,83900,23.7,13
"insgesamt",2014,"Berg am Laim",6972,44022,6.3,14
"insgesamt",2014,"Trudering",3032,68063,22.5,15
"insgesamt",2014,"Ramersdorf",5534,110099,19.9,16
"insgesamt",2014,"Obergiesing",9220,52743,5.7,17
"insgesamt",2014,"Untergiesing",6510,52452,8.1,18
"insgesamt",2014,"Thalkirchen",5146,91412,17.8,19
"insgesamt",2014,"Hadern",5407,49874,9.2,20
"insgesamt",2014,"Pasing",4357,71880,16.5,21
"insgesamt",2014,"Aubing",1258,42859,34.1,22
"insgesamt",2014,"Allach",2029,31353,15.5,23
"insgesamt",2014,"Feldmoching",2082,60262,28.9,24
"insgesamt",2014,"Laim",10351,54714,5.3,25
"insgesamt",2013,"Stadt München",4715,1464962,310.7,26
"insgesamt",2013,"Altstadt",6492,20422,3.1,1
"insgesamt",2013,"Ludwigsvorstadt",11501,50620,4.4,2
"insgesamt",2013,"Maxvorstadt",12016,51642,4.3,3
"insgesamt",2013,"Schwabing-West",15102,65892,4.4,4
"insgesamt",2013,"Haidhausen",14160,59752,4.2,5
"insgesamt",2013,"Sendling",10144,39953,3.9,6
"insgesamt",2013,"Sendling-Westpark",7090,55405,7.8,7
"insgesamt",2013,"Schwanthalerhöhe",14328,29663,2.1,8
"insgesamt",2013,"Neuhausen",7426,95906,12.9,9
"insgesamt",2013,"Moosach",4646,51537,11.1,10
